request_date,request_no,customer_code,customer_name,region,test_code,test_name,specimen_code,specimen_name,department_code,sales_amount
2024-01-03,20240103-971-5001,C001,서울A병원,서울,OS002,Fragile X Screening Test,02,Whole Blood,G010000,128000
2024-01-04,20240104-971-5002,C002,부산B의원,부산,A003,가타르 백혈검진 (G360),37,전용용기,G043223,98000
2024-01-05,20240105-971-5003,C003,대구C센터,대구,S003,상염색체 열성질환 보인자 검사(아기자기),02,Whole Blood,I00003,86000
2024-01-08,20240108-971-5004,C004,광주D병원,광주,A002,가토스마이디패널검사,02,Whole Blood,A000000,152000
2024-01-09,20240109-971-5005,C005,인천E랩,인천,A005,DCS plus (Proband),02,Whole Blood,A000000,74000
2024-01-11,20240111-971-5006,C006,대전F의원,대전,OS002,Fragile X Screening Test,02,Whole Blood,G010000,117000
2024-01-12,20240112-971-5007,C007,울산G병원,울산,A003,가타르 백혈검진 (G360),37,전용용기,TEST001,132000
2024-01-15,20240115-971-5008,C008,세종H의원,세종,S009,hMyH52 genetic test,02,Whole Blood,I00003,69000
2024-01-16,20240116-971-5009,C009,수원I센터,경기,OS002,Fragile X Screening Test,02,Whole Blood,G010000,121000
2024-01-18,20240118-971-5010,C010,창원J병원,경남,A002,가토스마이디패널검사,02,Whole Blood,A000000,165000
2024-01-19,20240119-971-5011,C011,고양K의원,경기,A003,가타르 백혈검진 (G360),37,전용용기,TEST001,103000
2024-01-22,20240122-971-5012,C012,천안L병원,충남,S003,상염색체 열성질환 보인자 검사(아기자기),02,Whole Blood,I00003,91000
2024-02-01,20240201-971-5013,C001,서울A병원,서울,OS002,Fragile X Screening Test,02,Whole Blood,G010000,134000
2024-02-02,20240202-971-5014,C002,부산B의원,부산,A003,가타르 백혈검진 (G360),37,전용용기,G043223,101000
2024-02-05,20240205-971-5015,C003,대구C센터,대구,S003,상염색체 열성질환 보인자 검사(아기자기),02,Whole Blood,I00003,88000
2024-02-06,20240206-971-5016,C004,광주D병원,광주,A002,가토스마이디패널검사,02,Whole Blood,A000000,157000
2024-02-08,20240208-971-5017,C005,인천E랩,인천,A005,DCS plus (Proband),02,Whole Blood,A000000,79000
2024-02-13,20240213-971-5018,C006,대전F의원,대전,OS002,Fragile X Screening Test,02,Whole Blood,G010000,119000
2024-02-15,20240215-971-5019,C007,울산G병원,울산,A003,가타르 백혈검진 (G360),37,전용용기,TEST001,138000
2024-02-16,20240216-971-5020,C008,세종H의원,세종,S009,hMyH52 genetic test,02,Whole Blood,I00003,73000
2024-03-04,20240304-971-5021,C009,수원I센터,경기,OS002,Fragile X Screening Test,02,Whole Blood,G010000,126000
2024-03-06,20240306-971-5022,C010,창원J병원,경남,A002,가토스마이디패널검사,02,Whole Blood,A000000,171000
2024-03-08,20240308-971-5023,C011,고양K의원,경기,A003,가타르 백혈검진 (G360),37,전용용기,TEST001,109000
2024-03-11,20240311-971-5024,C012,천안L병원,충남,S003,상염색체 열성질환 보인자 검사(아기자기),02,Whole Blood,I00003,95000
