customer_code,customer_name,order_date,order_amount
C001,서울A병원,2024-01-03,128000
C001,서울A병원,2024-02-01,134000
C002,부산B의원,2024-01-04,98000
C002,부산B의원,2024-02-02,101000
C003,대구C센터,2024-01-05,86000
C003,대구C센터,2024-02-05,88000
C004,광주D병원,2024-01-08,152000
C004,광주D병원,2024-02-06,157000
C005,인천E랩,2024-01-09,74000
C005,인천E랩,2024-02-08,79000
C006,대전F의원,2024-01-11,117000
C006,대전F의원,2024-02-13,119000
C007,울산G병원,2024-01-12,132000
C007,울산G병원,2024-02-15,138000
C008,세종H의원,2024-01-15,69000
C008,세종H의원,2024-02-16,73000
C009,수원I센터,2024-01-16,121000
C009,수원I센터,2024-03-04,126000
C010,창원J병원,2024-01-18,165000
C010,창원J병원,2024-03-06,171000
C011,고양K의원,2024-01-19,103000
C011,고양K의원,2024-03-08,109000
C012,천안L병원,2024-01-22,91000
C012,천안L병원,2024-03-11,95000
